sampleID,sample_type,species,season,date,time,lat,long
BIS1,animal,Bison,Spring,10/5/22,19:56,51.666789,-115.839642
BIS2,animal,Bison,Spring,10/5/22,20:15,51.66519,-115.837124
BIS9,animal,Bison,Spring,12/5/22,18:15,51.675648,-115.782128
BIS12,animal,Bison,Spring,27/5/22,12:30,51.598006,-115.643403
ELK16,animal,Elk,Spring,28/5/22,9:50,51.617483,-115.595718
ELK17,animal,Elk,Spring,19/5/22,11:30,51.740518,-115.552423
ELK24,animal,Elk,Spring,6/6/22,11:30,51.733929,-115.551852
BHS27,animal,BighornSheep,Spring,12/5/22,15:20,51.708401,-115.789557
BHS29,animal,BighornSheep,Spring,27/5/22,11:08,51.598436,-115.641427
BHS33,animal,BighornSheep,Spring,9/6/22,9:24,51.764686,-115.573547
BHS36,animal,BighornSheep,Spring,9/6/22,10:20,51.766448,-115.578738
BHS40,animal,BighornSheep,Summer,1/8/22,20:30,51.7659764,-115.5772317
BHS42,animal,BighornSheep,Summer,26/7/22,12:45,51.7215849,-115.9329318
ELK48,animal,Elk,Summer,14/7/22,12:45,51.743894,-115.558835
ELK49,animal,Elk,Spring,16/6/22,9:20,51.73404,-115.53532
BHS53,animal,BighornSheep,Summer,1/8/22,20:30,51.7659762,-115.577232
ELK54,animal,Elk,Summer,27/7/22,11:00,51.625062,-115.828493
BIS56,animal,Bison,Summer,25/7/22,16:35,51.7395742,-115.9223924
BHS58,animal,BighornSheep,Spring,27/7/22,16:20,51.592128,-115.655099
BIS59,animal,Bison,Summer,26/7/22,10:25,51.725379,-115.907317
BIS72,animal,Bison,Summer,10/8/22,11:45,51.6835981,-115.8079704
ELK75,animal,Elk,Summer,24/7/22,15:04,51.667463,-115.816518
BLA20220921.D,control,NA,NA,NA,NA,NA,NA
BLA20220921.E,control,NA,NA,NA,NA,NA,NA
NEG20220928.ban,control,NA,NA,NA,NA,NA,NA
NEG20220928.sa,control,NA,NA,NA,NA,NA,NA
POS20220928.ban,control,NA,NA,NA,NA,NA,NA
POS20220928.sa,control,NA,NA,NA,NA,NA,NA